transaction_id,sender_account,receiver_account,beneficiary_id,device_id,transaction_type,transaction_direction,transaction_channel,amount,balance_before,balance_after,transaction_status,remarks,merchant_category,latitude,longitude,location_radius_km,transaction_hour,is_new_beneficiary,is_night_transaction,transaction_velocity,otp_attempts,failed_auth_attempts,risk_score,risk_level,ml_prediction,transaction_time
29,879464986940,585501316490,3259,1782,RTGS,Credit,Hardware Token,118471.51,262870.08,381341.59,Failed,Sant-Dixit,Food,12.9716,77.5946,699.96,20,1,0,5.57,0,2,0.24,Low,Low,2025-10-04 20:39:16
30,895236200260,492279439874,1332,464,ATM,Debit,Net Banking,16040.21,390200.67,374160.46000000000,Failed,Chanda PLC,Utilities,17.385,78.4867,807.13,6,0,0,33.01,0,0,0.46,Medium,Medium,2025-05-19 06:30:49
31,619394803994,830586846652,2577,178,RTGS,Debit,Mobile App,18477.53,82666.7,64189.17,Success,Babu-Kumer,Food,17.385,78.4867,713.91,0,1,1,34.3,1,1,0.06,Low,Low,2025-09-11 00:14:05
32,510278029459,340483436278,3376,606,Bill Payment,Credit,Mobile App,90850.01,218895.49,309745.5,Failed,"Nazareth, Johal and Yohannan",Healthcare,17.385,78.4867,643.85,19,0,0,19.31,1,2,0.03,Low,Low,2025-10-25 19:40:07
33,518358040131,566107898254,2339,1027,Bill Payment,Credit,ATM,42468.21,100422.86,142891.07,Success,Luthra Inc,Travel,18.5204,73.8567,636.1,20,1,0,4.68,2,2,0.23,Low,Low,2025-05-30 20:59:06
34,796502725486,631818435713,2758,857,POS Purchase,Debit,ATM,4378.84,51251.13,46872.29000000000,Success,Morar Ltd,Gaming,12.9716,77.5946,305.94,23,1,0,18.45,2,0,0.35,Low,Low,2025-05-16 23:12:24
35,340483436278,986841054362,2249,1556,POS Purchase,Debit,USSD,149745.1,494476.24,344731.14,Failed,Lanka-Sood,Utilities,22.5726,88.3639,77.63,9,1,0,36.57,2,0,0.93,High,High,2026-03-11 09:28:52
36,248310470671,346043505864,3299,596,Bill Payment,Credit,ATM,95266.23,105581.72,200847.95,Success,More LLC,Gaming,17.385,78.4867,639.18,23,1,0,25.68,0,1,0.19,Low,Low,2025-08-07 23:18:04
37,688271662709,942313198938,1514,986,Bill Payment,Debit,Net Banking,137873.11,81157.36,-56715.750000000000,Success,Wadhwa Ltd,Investment,19.076,72.8777,915.78,12,1,0,45.45,0,0,0.86,High,High,2025-09-06 12:12:12
38,746587273140,948267960540,2184,859,UPI,Credit,ATM,34387.52,79419.78,113807.30000000000,Failed,"Ratta, Chada and Mitter",Investment,18.5204,73.8567,28.43,10,0,0,31.16,2,1,0.94,High,High,2026-02-13 10:25:37
39,734089258921,577398210237,3212,779,RTGS,Credit,Hardware Token,129701.04,190295.57,319996.61,Success,Kibe Inc,Utilities,17.385,78.4867,982.14,10,0,0,21.95,1,2,0.74,High,High,2025-12-17 10:29:12
40,842948594945,192117631786,2962,393,Bill Payment,Debit,Mobile App,74397.92,467967.27,393569.35000000000,Success,"Walia, Loke and Krish",Utilities,17.385,78.4867,864.1,22,1,0,35.49,1,0,0.46,Medium,Medium,2025-12-19 22:43:14
41,164233941766,461250039211,3432,1401,UPI,Credit,ATM,132771.52,77788.25,210559.77,Failed,Kala Ltd,Investment,13.0827,80.2707,285.75,20,0,0,34.24,3,2,0.6,Medium,Medium,2025-08-08 20:46:13
42,372854056652,428087154723,1934,1488,IMPS,Credit,Net Banking,9509.97,115905.57,125415.54000000000,Failed,Joshi-Kalla,Healthcare,22.5726,88.3639,918.75,4,0,0,11.65,3,1,0.34,Low,Low,2026-02-13 04:19:00
43,210822549293,440479853085,1385,40,RTGS,Debit,ATM,141462.69,325186.63,183723.94,Failed,"Karan, Jaggi and Bhattacharyya",Healthcare,22.5726,88.3639,638.54,15,1,0,27.52,3,0,0.61,Medium,Medium,2025-10-08 15:10:53
44,247258446695,501925406495,22,1876,NEFT,Credit,USSD,33366.17,31932.71,65298.88,Failed,Parsa Group,Shopping,28.7041,77.1025,110.34,6,0,0,49.47,2,1,0.1,Low,Low,2025-06-11 06:41:35
45,329003367937,583080679789,715,940,ATM,Credit,Hardware Token,92233.94,420654.94,512888.88,Success,Rama Group,Investment,28.7041,77.1025,614.63,22,1,0,3.83,0,2,0.4,Medium,Medium,2026-01-22 22:57:33
46,547667321501,640715840480,3260,575,POS Purchase,Debit,Net Banking,133910.32,19090.07,-114820.25,Success,Bora-Kumer,Healthcare,18.5204,73.8567,167.57,11,1,0,24.3,1,0,0.8,High,High,2026-02-14 11:53:29
47,518358040131,542255171839,1460,286,ATM,Credit,Net Banking,67711.27,442240.35,509951.62,Failed,Chhabra-Narayan,Food,18.5204,73.8567,205.58,5,1,0,2.5,1,0,0.16,Low,Low,2026-01-22 05:28:16
48,902593924952,975459549419,3502,1857,UPI,Credit,Mobile App,122257.76,82463.05,204720.81,Success,Borah-Kapadia,Utilities,18.5204,73.8567,462.59,18,1,0,35.36,1,2,0.16,Low,Low,2025-10-29 18:12:48
49,201222653813,504604238464,697,926,Bill Payment,Debit,Net Banking,122488.51,224527.54,102039.03000000000,Success,Brahmbhatt-Nadkarni,Utilities,28.7041,77.1025,692.74,1,0,1,11.78,2,2,0.65,Medium,Medium,2025-07-12 01:51:06
50,239375209479,124417103425,1397,1348,UPI,Credit,ATM,65254.76,281816.14,347070.9,Success,"Deol, Choudhury and Saraf",Gaming,22.5726,88.3639,123.43,20,1,0,43.08,0,1,0.26,Low,Low,2026-04-06 20:11:30
51,298981586107,984910008098,380,31,Bill Payment,Credit,Mobile App,89097.04,211285.1,300382.14,Failed,Narayanan Inc,Healthcare,22.5726,88.3639,162.58,21,1,0,27.28,0,0,0.62,Medium,Medium,2025-10-12 21:22:36
52,147121116538,150262208480,2302,1765,IMPS,Credit,Hardware Token,48691.05,308666.52,357357.57,Failed,"Kanda, Sahni and Goswami",Healthcare,28.7041,77.1025,593.15,6,1,0,8.58,3,1,0.64,Medium,Medium,2026-01-28 06:59:42
53,317639927818,521628884658,1173,770,POS Purchase,Credit,Net Banking,44128.74,114353.67,158482.41,Failed,Bajwa-Kalita,Investment,18.5204,73.8567,37.49,5,0,0,44.0,3,2,0.37,Low,Low,2026-04-20 05:02:03
54,809454042576,253144824577,230,1441,UPI,Debit,Hardware Token,47106.56,420592.71,373486.15,Failed,"Dave, Bajwa and Tank",Shopping,19.076,72.8777,930.41,19,0,0,17.45,3,1,0.42,Medium,Medium,2025-06-27 19:29:08
55,528511802514,457862946201,2059,17,POS Purchase,Credit,USSD,128886.59,126030.69,254917.28,Failed,"Sagar, Konda and Singhal",Utilities,28.7041,77.1025,238.55,23,0,0,45.89,2,1,0.85,High,High,2026-04-18 23:30:46
56,627079066232,461250039211,1175,37,IMPS,Credit,Mobile App,47254.25,479794.61,527048.86,Success,"Kar, Kakar and Shroff",Gaming,22.5726,88.3639,324.06,19,1,0,5.48,2,1,0.56,Medium,Medium,2026-02-18 19:31:25
57,238215973268,287119557544,2057,563,RTGS,Debit,Hardware Token,48983.82,88304.55,39320.73,Success,Mall-Mangal,Investment,12.9716,77.5946,404.64,3,1,1,3.73,3,1,0.25,Low,Low,2025-12-17 03:36:29
58,153184139758,710018898261,3503,1219,POS Purchase,Credit,Net Banking,130559.24,175974.59,306533.83,Failed,Nigam PLC,Gaming,19.076,72.8777,371.79,21,1,0,43.98,2,0,0.18,Low,Low,2025-11-21 21:32:47
59,475164939861,472564497098,381,102,Bill Payment,Credit,Net Banking,34991.44,492451.73,527443.1700000000,Failed,"Manda, Bhavsar and Aurora",Investment,19.076,72.8777,495.59,19,0,0,41.11,1,2,0.82,High,High,2025-08-27 19:31:30
60,501716898659,308234568791,1895,89,RTGS,Debit,USSD,77919.37,369275.45,291356.08,Failed,Dhar-Atwal,Gaming,13.0827,80.2707,821.04,17,1,0,23.01,2,2,0.03,Low,Low,2025-05-28 17:13:51
61,937905206323,565734257022,1482,1199,ATM,Credit,USSD,137857.47,414243.94,552101.41,Failed,Kapoor PLC,Utilities,22.5726,88.3639,897.85,9,0,0,36.49,0,2,0.4,Medium,Medium,2025-12-06 09:30:33
62,974161943040,845641690741,193,1298,ATM,Credit,Hardware Token,143802.26,144736.64,288538.9,Failed,Maharaj-Cheema,Gaming,13.0827,80.2707,556.42,6,1,0,9.85,2,1,0.75,High,High,2026-02-20 06:16:38
63,307027508288,895539672395,3497,1831,IMPS,Credit,Mobile App,97354.93,444885.54,542240.47,Success,Salvi-Narula,Healthcare,22.5726,88.3639,509.11,22,0,0,16.58,0,0,0.09,Low,Low,2026-02-13 22:29:03
64,727435808994,348725639449,2793,640,IMPS,Credit,Net Banking,23343.46,55241.7,78585.16,Failed,Chokshi and Sons,Food,12.9716,77.5946,644.43,17,0,0,12.06,1,1,0.52,Medium,Medium,2026-03-07 17:36:41
65,572980761830,938511278738,3398,39,POS Purchase,Debit,Mobile App,140669.36,221307.01,80637.65000000000,Success,Badal Ltd,Shopping,18.5204,73.8567,293.08,5,1,0,17.35,1,1,0.77,High,High,2026-03-20 05:38:17
66,895982963210,456091091023,1406,1281,UPI,Debit,ATM,134793.6,248463.4,113669.80000000000,Failed,Bhat-Ramesh,Shopping,12.9716,77.5946,397.64,0,1,1,27.1,0,0,0.48,Medium,Medium,2025-11-19 00:01:19
67,584306566899,516363884878,3050,25,RTGS,Credit,Mobile App,19058.45,231110.42,250168.87000000000,Success,Sandhu-Nazareth,Shopping,28.7041,77.1025,866.11,4,1,0,1.25,3,0,0.12,Low,Low,2025-05-19 04:19:31
68,565734257022,770744640094,2452,1635,NEFT,Debit,Mobile App,144410.07,212646.67,68236.6,Failed,Doshi Ltd,Shopping,22.5726,88.3639,376.43,15,0,0,7.56,0,1,0.86,High,High,2025-07-28 15:10:54
69,220167264733,468635182272,3451,1826,ATM,Credit,ATM,124878.17,354455.42,479333.59000000000,Failed,"Chana, Choudhry and Mallick",Utilities,19.076,72.8777,252.42,4,0,0,30.26,3,0,0.14,Low,Low,2025-10-26 04:47:52
70,652813364610,902593924952,3068,1651,ATM,Debit,ATM,68971.38,104722.3,35750.92,Success,Madan-Nadig,Gaming,19.076,72.8777,257.94,5,1,0,45.61,2,2,0.3,Low,Low,2026-03-18 05:32:45
71,541404102194,368049895077,2842,1683,IMPS,Credit,Hardware Token,141286.92,370211.35,511498.27,Failed,Soni LLC,Food,13.0827,80.2707,512.29,3,0,1,41.21,1,2,0.73,High,High,2026-04-01 03:34:33
72,365323846162,757554111969,135,1908,IMPS,Credit,Hardware Token,66960.25,20346.45,87306.7,Failed,Sura-Palla,Gaming,13.0827,80.2707,658.78,15,0,0,33.21,1,2,0.2,Low,Low,2026-05-08 15:29:57
73,605953605226,114365186023,1184,754,NEFT,Credit,Hardware Token,11901.21,437060.62,448961.83,Success,Gokhale LLC,Utilities,17.385,78.4867,804.9,1,1,1,21.54,0,0,0.26,Low,Low,2025-11-19 01:57:55
74,200080642310,792772716390,1265,1082,Bill Payment,Credit,Net Banking,28202.26,140358.51,168560.77000000000,Failed,Kara and Sons,Healthcare,22.5726,88.3639,600.73,8,0,0,2.69,0,0,0.15,Low,Low,2026-02-24 08:54:44
75,381420914868,253809440372,2727,558,RTGS,Debit,Hardware Token,141301.96,427723.86,286421.9,Success,Sagar Group,Food,12.9716,77.5946,634.57,19,1,0,11.21,2,1,0.79,High,High,2025-10-07 19:19:29
76,200858759600,162877218200,864,919,ATM,Credit,Net Banking,82933.2,293369.46,376302.66000000000,Failed,Sidhu PLC,Shopping,22.5726,88.3639,892.0,15,0,0,30.34,1,1,0.85,High,High,2025-07-28 15:58:12
77,974161943040,446355325874,2354,290,UPI,Debit,Hardware Token,145409.91,341888.89,196478.98,Failed,Oak Ltd,Healthcare,18.5204,73.8567,108.55,18,0,0,1.16,2,1,0.37,Low,Low,2026-04-21 18:50:20
78,163314284808,439090867449,3570,1211,UPI,Credit,USSD,95093.58,313442.19,408535.77,Success,Sridhar Inc,Gaming,28.7041,77.1025,812.79,4,1,0,35.96,1,2,0.75,High,High,2025-06-12 04:26:32
79,625495905090,606039734523,3234,454,POS Purchase,Credit,Net Banking,149679.97,425660.35,575340.32,Success,Rau-Pau,Travel,19.076,72.8777,656.89,8,1,0,13.0,0,2,0.85,High,High,2025-12-29 08:02:44
80,747415975963,188344285959,3561,36,ATM,Debit,Net Banking,22406.25,440048.31,417642.06,Failed,Gulati-Balay,Investment,17.385,78.4867,704.55,12,0,0,27.67,2,0,0.87,High,High,2026-03-18 12:27:20
81,680981920149,599714986161,2817,1448,ATM,Credit,ATM,71569.36,403703.57,475272.93,Success,"Chaudhari, Dhar and Lata",Travel,18.5204,73.8567,248.56,10,1,0,19.17,1,0,0.07,Low,Low,2025-06-29 10:28:57
82,286890544661,910192372989,1631,1087,POS Purchase,Debit,Hardware Token,63572.99,251568.91,187995.92,Failed,Mishra Inc,Food,17.385,78.4867,428.75,0,0,1,32.07,0,2,0.43,Medium,Medium,2026-01-25 00:00:17
83,966824268312,507317763835,1865,1995,POS Purchase,Debit,Net Banking,127323.57,386605.1,259281.53000000000,Failed,Mitra Group,Food,22.5726,88.3639,106.15,10,0,0,7.52,2,1,0.34,Low,Low,2026-03-24 10:46:39
84,492679060459,917243003724,151,86,POS Purchase,Credit,Mobile App,6554.23,472672.71,479226.94,Failed,"Bala, Bava and Som",Travel,22.5726,88.3639,323.8,14,0,0,13.76,0,0,0.76,High,High,2026-02-04 14:47:23
85,592170317928,402009594489,937,1929,RTGS,Credit,USSD,129089.5,142742.7,271832.2,Failed,Rajagopal-Ram,Food,17.385,78.4867,384.33,20,0,0,24.87,3,1,0.97,High,High,2026-01-29 20:35:49
86,298981586107,439635612188,17,1784,ATM,Credit,USSD,122191.99,431065.73,553257.72,Success,Mahajan Ltd,Food,17.385,78.4867,155.56,9,0,0,8.29,3,0,0.44,Medium,Medium,2026-01-14 09:58:24
87,872475993425,757554111969,978,161,Bill Payment,Debit,Net Banking,35809.74,310724.99,274915.25,Success,"Virk, Hans and Garde",Utilities,12.9716,77.5946,565.4,17,1,0,43.62,2,0,0.9,High,High,2025-05-20 17:36:45
88,308234568791,205666441980,2974,566,NEFT,Credit,Hardware Token,7339.73,383162.8,390502.53000000000,Success,Kohli-Deo,Gaming,22.5726,88.3639,297.66,22,1,0,14.4,0,0,0.77,High,High,2025-07-16 22:59:58
89,163001973608,200858759600,498,1090,ATM,Debit,USSD,95059.48,455801.61,360742.13,Success,Karpe Group,Gaming,19.076,72.8777,542.25,17,0,0,9.84,2,0,0.93,High,High,2025-09-10 17:26:44
90,517211906492,589988659734,2632,1232,Bill Payment,Debit,Net Banking,113148.23,23716.03,-89432.2,Success,Bahri and Sons,Investment,22.5726,88.3639,310.41,7,1,0,50.0,1,2,0.37,Low,Low,2025-06-29 07:46:43
91,770744640094,263565385465,387,1382,POS Purchase,Credit,Hardware Token,147468.28,325424.21,472892.49,Success,Mutti-Nazareth,Shopping,12.9716,77.5946,897.26,2,1,1,21.6,0,0,0.61,Medium,Medium,2025-07-14 02:53:54
92,178570360378,963163899939,2397,1017,UPI,Debit,USSD,52500.44,276025.83,223525.39,Failed,Varughese Group,Food,28.7041,77.1025,572.71,17,0,0,36.67,1,0,0.71,High,High,2025-05-12 17:30:15
93,366345449193,825834973365,777,913,Bill Payment,Debit,Mobile App,5601.98,398182.32,392580.34,Failed,Vohra LLC,Shopping,28.7041,77.1025,721.22,10,0,0,23.74,0,2,0.46,Medium,Medium,2025-06-09 10:22:51
94,752238128303,636994400401,221,754,NEFT,Credit,USSD,68046.47,195755.54,263802.01,Failed,"Sami, Issac and Reddy",Shopping,17.385,78.4867,932.86,19,0,0,19.49,3,0,0.18,Low,Low,2025-07-09 19:38:54
95,491410448106,682768927309,3535,588,ATM,Debit,ATM,73385.57,497641.88,424256.31,Success,Sur Ltd,Healthcare,13.0827,80.2707,131.47,5,0,0,43.0,2,0,0.9,High,High,2025-06-02 05:27:55
96,461250039211,222649334679,2193,1397,ATM,Credit,Hardware Token,56226.78,351691.89,407918.67000000000,Success,Sarna-Chaudhary,Investment,18.5204,73.8567,964.03,19,0,0,9.4,0,0,0.57,Medium,Medium,2025-11-22 19:31:57
97,586802479406,789930655181,3156,347,RTGS,Debit,ATM,93158.92,190321.26,97162.34000000000,Failed,Rajagopalan-Boase,Healthcare,12.9716,77.5946,321.8,5,1,0,4.75,1,0,0.45,Medium,Medium,2025-08-24 05:56:12
98,361336977272,372854056652,2376,201,RTGS,Credit,Net Banking,66557.49,13663.91,80221.40000000000,Success,Prabhakar Ltd,Utilities,19.076,72.8777,243.03,19,1,0,16.54,0,1,0.97,High,High,2025-11-06 19:40:42
99,626156857589,281213109635,318,396,UPI,Debit,Mobile App,57393.83,490724.11,433330.28000000000,Failed,"Hayer, Luthra and Boase",Utilities,17.385,78.4867,404.92,7,1,0,43.97,2,0,0.32,Low,Low,2025-09-13 07:20:28
100,776174721707,396824651973,1228,470,RTGS,Debit,Mobile App,133434.13,401927.31,268493.18,Failed,Hayre-Mandal,Food,17.385,78.4867,99.45,7,0,0,26.97,0,2,0.62,Medium,Medium,2026-03-19 07:45:18
101,583458875798,385413610194,820,581,UPI,Credit,Mobile App,76256.25,405842.67,482098.92,Failed,Goyal-Sane,Shopping,28.7041,77.1025,794.29,2,0,1,5.45,2,2,0.66,Medium,Medium,2026-05-05 02:16:44
102,333370003364,540381378106,1229,102,Bill Payment,Credit,USSD,19259.14,305219.8,324478.94,Failed,Hegde-Bumb,Shopping,22.5726,88.3639,244.58,11,1,0,32.92,2,1,0.25,Low,Low,2025-05-15 11:28:21
103,138084210611,743961248853,3321,678,IMPS,Credit,Hardware Token,145394.56,466003.26,611397.8200000000,Failed,"Dash, Chauhan and Ghosh",Shopping,17.385,78.4867,451.66,0,0,1,20.99,2,0,0.27,Low,Low,2026-03-08 00:56:13
104,786192192299,696526888940,852,615,IMPS,Credit,ATM,76275.81,299691.49,375967.3,Failed,"Talwar, Jha and Rege",Travel,12.9716,77.5946,946.75,4,0,0,16.77,3,2,0.28,Low,Low,2026-03-10 04:12:01
105,365336593908,613450085877,3057,264,POS Purchase,Credit,USSD,90618.8,442438.55,533057.35,Failed,Chakrabarti LLC,Food,18.5204,73.8567,732.22,3,1,1,8.57,0,2,0.46,Medium,Medium,2026-03-02 03:46:58
106,676807379369,561187062313,3155,1841,POS Purchase,Credit,USSD,12041.66,89398.98,101440.64,Failed,Kale PLC,Utilities,17.385,78.4867,391.97,18,0,0,39.92,2,1,0.95,High,High,2026-03-11 18:00:38
107,631877198700,507317763835,761,249,IMPS,Credit,Net Banking,17362.21,309176.82,326539.03,Success,Krishnan Ltd,Healthcare,18.5204,73.8567,12.04,20,0,0,33.02,2,1,0.03,Low,Low,2026-02-12 20:25:34
108,213747595755,796502725486,3457,1233,NEFT,Debit,Hardware Token,2343.13,129029.8,126686.67,Failed,"Krishna, Biswas and Sankar",Gaming,18.5204,73.8567,816.74,10,1,0,5.81,0,0,0.77,High,High,2026-04-01 10:41:10
109,307012673957,206759190417,278,1745,UPI,Debit,Mobile App,106589.93,228205.11,121615.18,Success,Prabhakar and Sons,Food,28.7041,77.1025,851.99,19,1,0,44.66,3,0,0.27,Low,Low,2025-11-05 19:59:33
110,710018898261,999690171998,3252,1603,UPI,Debit,USSD,41097.84,346706.46,305608.62,Failed,Borde Ltd,Food,12.9716,77.5946,137.13,13,0,0,4.26,3,0,0.35,Low,Low,2026-02-08 13:30:09
111,992792203112,688261446266,2377,256,Bill Payment,Debit,USSD,39917.42,14826.96,-25090.46,Success,Sandhu-Chandra,Investment,18.5204,73.8567,371.13,21,1,0,22.14,1,0,0.88,High,High,2025-06-11 21:45:17
112,125385974690,606039734523,1826,2006,UPI,Credit,Net Banking,143077.42,62513.34,205590.76,Failed,"Rau, Rana and Morar",Travel,28.7041,77.1025,643.12,19,0,0,11.84,0,1,0.99,High,High,2025-11-02 19:17:48
113,525381501724,390924700075,2941,1279,Bill Payment,Credit,Mobile App,140214.06,406056.65,546270.71,Failed,Mandal-Kapoor,Food,18.5204,73.8567,595.9,22,0,0,5.51,2,1,0.6,Medium,Medium,2025-10-05 22:48:51
114,299090839917,157839746231,2947,902,ATM,Debit,Mobile App,65669.56,92227.25,26557.690000000000,Failed,Kant Inc,Utilities,19.076,72.8777,626.05,4,1,0,9.65,2,1,0.59,Medium,Medium,2025-06-14 04:04:49
115,958126727318,926757659218,821,241,POS Purchase,Credit,Net Banking,105819.01,495130.11,600949.12,Failed,Sridhar-Badal,Travel,17.385,78.4867,207.48,16,0,0,9.72,0,0,0.0,Low,Low,2025-07-01 16:24:51
116,436809564077,712858326515,2686,147,IMPS,Credit,USSD,77981.38,58365.45,136346.83000000000,Success,Varughese-Narasimhan,Gaming,18.5204,73.8567,909.94,8,1,0,4.58,0,0,0.99,High,High,2025-06-15 08:51:20
